abstractSyntaxTree;functionToReplace;tenseFunction
"PhrUtt NoPConj (UttS (AdvS (SubjS when_Subj (UseCl (TTAnt TPast ASimul) PPos (PredVP (DetCN (DetQuant IndefArt NumSg) (UseN studentMasc_1_N)) (ComplSlash (SlashV2a make_1_V2) (DetCN (DetQuant IndefArt NumSg) (AdjCN (PositA stupid_1_A) (UseN mistake_1_N))))))) (UseCl (TTAnt TPast ASimul) PPos (PredVP (UsePron he_Pron) (ComplSlash (Slash2V3 spare_V3 (UsePron they_Pron)) (DetCN (DetQuant no_Quant NumSg) (UseN abuse_2_N))))))) NoVoc";"spare_V3";"preterite_N"
"PhrUtt NoPConj (UttS (UseCl (TTAnt TPast ASimul) PPos (PredVP (DetCN (DetQuant DefArt NumSg) (UseN mother_1_N)) (ReflVPSlash (SlashV2a abandon_5_V2) (ReflPoss NumPl (UseN child_1_N)))))) NoVoc";"abandon_5_V2";"preterite_N"
"PhrUtt NoPConj (UttS (UseCl (TTAnt TPast ASimul) PPos (PredVP (UsePron she_Pron) (AdvVP (UseV awake_V) (PrepNP to_1_Prep (DetCN (DetQuant DefArt NumSg) (PossNP (UseN squawk_1_N) (DetCN (DetQuant IndefArt NumPl) (UseN chicken_1_N))))))))) NoVoc";"awake_V";"preterite_N"
"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (DetCN (DetQuant DefArt NumPl) (UseN child_1_N)) (ComplVV must_2_VV ASimul PPos (ComplVV learn_VV ASimul PPos (UseV behave_3_V)))))) NoVoc";"behave_3_V";"infinitive_N"
"PhrUtt NoPConj (UttS (UseCl (TTAnt TPast ASimul) PPos (PredVP (UsePron he_Pron) (AdvVP (ReflVPSlash (SlashV2a use_1_V2) (ReflPoss NumSg (UseN knife_1_N))) (PrepNP as_Prep (DetCN (DetQuant IndefArt NumSg) (UseN spreader_1_N))))))) NoVoc";"use_1_V2";"preterite_N"
"PhrUtt NoPConj (UttS (UseCl (TTAnt TPast ASimul) PPos (PredVP (UsePron she_Pron) (ComplSlash (SlashV2a squeeze_7_V2) (DetCN (DetQuant DefArt NumSg) (UseN bottle_1_N)))))) NoVoc";"squeeze_7_V2";"preterite_N"
"PhrUtt NoPConj (UttS (UseCl (TTAnt TPast ASimul) PPos (PredVP (UsePron he_Pron) (ComplSlash (SlashV2a add_1_V2) (DetCN (DetQuant IndefArt (NumCard (NumNumeral (num (pot3as4 (pot2as3 (pot1as2 (pot0as1 (pot0 n2))))))))) (PossNP (UseN spoon_2_N) (MassNP (UseN sugar_1_N)))))))) NoVoc";"add_1_V2";"preterite_N"
"PhrUtt NoPConj (UttS (UseCl (TTAnt TPast ASimul) PPos (PredVP (UsePron she_Pron) (ComplSlash (SlashV2a amass_V2) (DetCN (DetQuant IndefArt NumPl) (PossNP (UseN stack_1_N) (DetCN (DetQuant IndefArt NumPl) (UseN newspaper_1_N)))))))) NoVoc";"amass_V2";"preterite_N"
"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (DetCN (DetQuant DefArt NumSg) (PossNP (UseN behaviour_2_N) (DetCN (DetQuant IndefArt NumPl) (AdjCN (PositA small_1_A) (UseN particle_1_N))))) (AdvVP (ComplVV can_2_VV ASimul PPos (PassVPSlash (SlashV2a study_1_V2))) (PrepNP in_1_Prep (DetCN (DetQuant IndefArt NumPl) (UseN experiment_1_N))))))) NoVoc";"study_1_V2";"passive_N"








