synonymFunction;answerFunction;synonymCode;alternativeFunctions
"reputation_1_N";"repute_N";"14461591-n";"cup_1_N,cur_1_N,curiousness_1_N,curler_N"
"substitute_2_N";"reserve_3_N";"10690481-n";"curve_1_N,cushion_1_N,pelt_1_N,shock_1_N"
"gap_2_N";"opening_1_N";"09402023-n";"immature_1_A,abbess_N,imposter_N,author_1_N"
"okay_1_A";"fine_1_A";"02088253-a";"critical_1_A,croquette_N,crowded_A,cultivable_1_A"
"near_1_A";"close_3_A";"00446553-a";"despise_V2,despite_1_N,detachment_1_N,detonate_1_V"
"grow_5_V";"mature_1_V";"00251067-v";"immature_1_A,decline_2_N,shrink_5_V,fade_3_V"
"arrogant_A";"haughty_A";"01895886-a";"considerate_A,angry_1_A,happy_1_A,nonchalant_A"
"authenticity_N";"legitimacy_2_N";"04790511-n";"fake_1_A,taunt_N,tediousness_N,countersign_1_N"
"delay_1_N";"hold_4_N";"15297015-n";"hold_13_V,jersey_3_N,face_1_V2,countersign_1_N"
"tentative_1_A";"provisional_1_A";"00558544-a";"teratology_N,termination_1_N,terrible_1_A,terrific_1_A"
