function;status;langcode
"a_bomb_N";"checked";"eng"
"a_couple_Card";"checked";"eng"
"a_few_Card";"checked";"eng"
"a_fortiori_Adv";"checked";"eng"
"a_la_carte_Adv";"checked";"eng"
"a_la_mode_Adv";"checked";"eng"
"a_level_N";"checked";"eng"
"a_little_Card";"checked";"eng"
"a_lotSg_Card";"checked";"eng"
"a_lotPl_Card";"checked";"eng"
"a_lot_AdA";"checked";"eng"
"a_lot_Adv";"checked";"eng"
"a_posteriori_1_A";"checked";"eng"
"a_posteriori_2_A";"checked";"eng"
"a_priori_1_A";"checked";"eng"
"a_priori_2_A";"checked";"eng"
"a_sufficiencySg_Card";"checked";"eng"
"a_sufficiencyPl_Card";"checked";"eng"
"aa_1_N";"checked";"eng"
"aa_2_N";"checked";"eng"
"aa_3_N";"checked";"eng"
"aachen_PN";"checked";"eng"
"aalii_N";"checked";"eng"
"aardvark_N";"checked";"eng"
"aardwolf_N";"checked";"eng"
"aarhus_PN";"checked";"eng"
"ab_initio_Adv";"checked";"eng"
"aba_1_N";"checked";"eng"
"aba_2_N";"checked";"eng"
"abaca_1_N";"checked";"eng"
"abaca_2_N";"checked";"eng"
"aback_Adv";"checked";"eng"
"take_aback_V2";"checked";"eng"
"abactinal_A";"checked";"eng"
"abacus_1_N";"checked";"eng"
"abacus_2_N";"checked";"eng"
"abaft_Adv";"checked";"eng"
"abaft_Prep";"checked";"eng"
"abalone_N";"checked";"eng"
"abampere_N";"checked";"eng"
"abandon_1_N";"checked";"eng"
"abandon_2_N";"checked";"eng"
"abandon_1_V2";"checked";"eng"
"abandon_2_V2";"checked";"eng"
"abandon_3_V2";"checked";"eng"
"abandon_4_V2";"checked";"eng"
"abandon_5_V2";"checked";"eng"
"abandonment_1_N";"checked";"eng"
"abandonment_2_N";"checked";"eng"
"abandonment_3_N";"checked";"eng"
"abarticulation_N";"checked";"eng"
"abase_V2";"checked";"eng"
"abasement_1_N";"checked";"eng"
"abasement_2_N";"checked";"eng"
"abash_V2";"checked";"eng"
"abashment_N";"checked";"eng"
"abasia_N";"checked";"eng"
"abasic_1_A";"checked";"eng"
"abatable_A";"checked";"eng"
"abate_1_V";"checked";"eng"
"abate_2_V";"checked";"eng"
"abate_1_V2";"checked";"eng"
"abatement_1_N";"checked";"eng"
"abatement_2_N";"checked";"eng"
"abator_N";"checked";"eng"
"abattis_1_N";"checked";"eng"
"abattoir_N";"checked";"eng"
"abaxial_A";"checked";"eng"
"abaya_N";"checked";"eng"
"abbacy_N";"checked";"eng"
"abbatial_A";"checked";"eng"
"abbe_N";"checked";"eng"
"abbess_N";"checked";"eng"
"abbey_1_N";"checked";"eng"
"abbey_2_N";"checked";"eng"
"abbey_3_N";"checked";"eng"
"abbot_N";"checked";"eng"
"abbreviate_1_V2";"checked";"eng"
"abbreviate_2_V2";"checked";"eng"
"abbreviation_1_N";"checked";"eng"
"abbreviation_2_N";"checked";"eng"
"abc_N";"checked";"eng"
"abcoulomb_N";"checked";"eng"
"abdicable_A";"checked";"eng"
"abdicate_V";"checked";"eng"
"abdication_1_N";"checked";"eng"
"abdication_2_N";"checked";"eng"
"abdicator_N";"checked";"eng"
"abdomen_1_N";"checked";"eng"
"abdomen_2_N";"checked";"eng"
"abdominal_A";"checked";"eng"
"abdominal_N";"checked";"eng"
"abdominocentesis_N";"checked";"eng"
"abdominoplasty_N";"checked";"eng"
"abdominous_A";"checked";"eng"
"abdominousness_N";"checked";"eng"
"abdominovesical_A";"checked";"eng"
"abducent_A";"checked";"eng"
"abducent_N";"checked";"eng"
"abduct_V";"checked";"eng"
"abduct_V2";"checked";"eng"
"abduction_1_N";"checked";"eng"
"abduction_2_N";"checked";"eng"
"abductor_1_N";"checked";"eng"
"abductor_2_N";"checked";"eng"
"abe_PN";"checked";"eng"
"abeam_Adv";"checked";"eng"
"abecedarian_A";"checked";"eng"
"abecedarian_1_N";"checked";"eng"
"abecedarian_2_N";"checked";"eng"
"abecedarius_N";"checked";"eng"
"abed_Adv";"checked";"eng"
"abelia_N";"checked";"eng"
"abelian_A";"checked";"eng"
"abelmosk_N";"checked";"eng"
"abercarn_PN";"checked";"eng"
"aberdare_PN";"checked";"eng"
"aberdeen_1_PN";"checked";"eng"
"aberdeen_2_PN";"checked";"eng"
"aberdeen_3_PN";"checked";"eng"
"aberdeen_4_PN";"checked";"eng"
"abergavenny_PN";"checked";"eng"
"abergele_PN";"checked";"eng"
"aberrance_1_N";"checked";"eng"
"aberrant_A";"checked";"eng"
"aberrant_N";"checked";"eng"
"aberration_1_N";"checked";"eng"
"aberration_2_N";"checked";"eng"
"aberration_3_N";"checked";"eng"
"abertillery_PN";"checked";"eng"
"aberystwyth_PN";"checked";"eng"
"abet_V";"checked";"eng"
"abet_V2";"checked";"eng"
"abetalipoproteinemia_N";"checked";"eng"
"abetment_N";"checked";"eng"
"abettor_1_N";"checked";"eng"
"abeyance_N";"checked";"eng"
"abeyant_A";"checked";"eng"
"abfarad_N";"checked";"eng"
"abhenry_N";"checked";"eng"
"abhor_V2";"checked";"eng"
"abhorrence_N";"checked";"eng"
"abhorrent_A";"checked";"eng"
"abhorrer_N";"checked";"eng"
"abidance_1_N";"checked";"eng"
"abidance_2_N";"checked";"eng"
"abidance_3_N";"checked";"eng"
"abide_1_V";"checked";"eng"
"abide_2_V2";"checked";"eng"
"abide_by_1_V2";"checked";"eng"
"abide_by_2_V2";"checked";"eng"
"abience_N";"checked";"eng"
"abient_A";"checked";"eng"
"ability_1_N";"checked";"eng"
"ability_2_N";"checked";"eng"
"abingdon_PN";"checked";"eng"
"abiogenesis_N";"checked";"eng"
"abiogenetic_A";"checked";"eng"
"abiogenist_N";"checked";"eng"
"abiotrophy_N";"checked";"eng"
"abject_1_A";"checked";"eng"
"abject_2_A";"checked";"eng"
"abject_3_A";"checked";"eng"
"abject_4_A";"checked";"eng"
"abjection_N";"checked";"eng"
"abjuration_N";"checked";"eng"
"abjure_V2";"checked";"eng"
"abjurer_N";"checked";"eng"
"ablactation_1_N";"checked";"eng"
"ablactation_2_N";"checked";"eng"
"ablated_A";"checked";"eng"
"ablation_1_N";"checked";"eng"
"ablation_2_N";"checked";"eng"
"ablative_1_A";"checked";"eng"
"ablative_2_A";"checked";"eng"
"ablative_N";"checked";"eng"
"ablaut_N";"checked";"eng"
"ablaze_1_A";"checked";"eng"
"ablaze_2_A";"checked";"eng"
"ablaze_3_A";"checked";"eng"
"ablaze_4_A";"checked";"eng"
"able_1_A";"checked";"eng"
"able_2_A";"checked";"eng"
"able_3_A";"checked";"eng"
"able_4_A";"checked";"eng"
"able_bodied_A";"checked";"eng"
"ableism_1_N";"checked";"eng"
