function;status;langcode
"a_bomb_N";"checked";"swe"
"a_couple_Card";"checked";"swe"
"a_few_Card";"checked";"swe"
"a_fortiori_Adv";"checked";"swe"
"a_la_carte_Adv";"checked";"swe"
"a_la_mode_Adv";"checked";"swe"
"a_level_N";"guessed";"swe"
"a_little_Card";"checked";"swe"
"a_lotSg_Card";"checked";"swe"
"a_lotPl_Card";"checked";"swe"
"a_lot_AdA";"checked";"swe"
"a_lot_Adv";"checked";"swe"
"a_posteriori_1_A";"checked";"swe"
"a_posteriori_2_A";"guessed";"swe"
"a_priori_1_A";"checked";"swe"
"a_priori_2_A";"guessed";"swe"
"a_sufficiencySg_Card";"checked";"swe"
"a_sufficiencyPl_Card";"checked";"swe"
"aa_1_N";"not_defined";"swe"
"aa_2_N";"not_defined";"swe"
"aa_3_N";"not_defined";"swe"
"aachen_PN";"checked";"swe"
"aalii_N";"not_defined";"swe"
"aardvark_N";"checked";"swe"
"aardwolf_N";"checked";"swe"
"aarhus_PN";"checked";"swe"
"ab_initio_Adv";"guessed";"swe"
"aba_1_N";"not_defined";"swe"
"aba_2_N";"not_defined";"swe"
"abaca_1_N";"not_defined";"swe"
"abaca_2_N";"not_defined";"swe"
"aback_Adv";"checked";"swe"
"take_aback_V2";"checked";"swe"
"abactinal_A";"not_defined";"swe"
"abacus_1_N";"guessed";"swe"
"abacus_2_N";"checked";"swe"
"abaft_Adv";"checked";"swe"
"abaft_Prep";"not_defined";"swe"
"abalone_N";"checked";"swe"
"abampere_N";"not_defined";"swe"
"abandon_1_N";"checked";"swe"
"abandon_2_N";"checked";"swe"
"abandon_1_V2";"checked";"swe"
"abandon_2_V2";"guessed";"swe"
"abandon_3_V2";"guessed";"swe"
"abandon_4_V2";"checked";"swe"
"abandon_5_V2";"checked";"swe"
"abandonment_1_N";"guessed";"swe"
"abandonment_2_N";"checked";"swe"
"abandonment_3_N";"guessed";"swe"
"abarticulation_N";"checked";"swe"
"abase_V2";"not_defined";"swe"
"abasement_1_N";"guessed";"swe"
"abasement_2_N";"guessed";"swe"
"abash_V2";"not_defined";"swe"
"abashment_N";"guessed";"swe"
"abasia_N";"checked";"swe"
"abasic_1_A";"not_defined";"swe"
"abatable_A";"not_defined";"swe"
"abate_1_V";"guessed";"swe"
"abate_2_V";"checked";"swe"
"abate_1_V2";"not_defined";"swe"
